id,bank,city,state,date,date_numbers,acquired_by,assets_mil,cartodb_id,created_at,updated_at,cartodb_georef_status,longitude,latitude,geojson
1,IndyMac,Pasadena,California,1215734400000,20080711,"OneWest Bank, FSB",32000,2,1357420806903,1357420841713,1,-118.14427,34.14745,"{""type"":""Point"",""coordinates"":[-118.14427,34.14745]}"
2,Franklin Bank,Houston,Texas,1226016000000,20081107,Prosperity Bank,5100,4,1357420806903,1357420843903,1,-95.36978,29.76045,"{""type"":""Point"",""coordinates"":[-95.36978,29.76045]}"
3,PFF Bank and Trust,Pomona,California,1227225600000,20081121,"U.S. Bank, N.A.",3700,5,1357420806903,1357420844742,1,-117.75003,34.05483,"{""type"":""Point"",""coordinates"":[-117.75003,34.05483]}"
4,ANB Financial NA,Bentonville,Arkansas,1210291200000,20080509,Pulaski Bank and Trust Company,2100,7,1357420806903,1357420846476,1,-94.20962,36.37232,"{""type"":""Point"",""coordinates"":[-94.20962,36.37232]}"
5,Silver State Bank,Henderson,Nevada,1220572800000,20080905,Nevada State Bank,2000,8,1357420806903,1357420847480,1,-114.98109,36.03082,"{""type"":""Point"",""coordinates"":[-114.98109,36.03082]}"
6,The Columbian Bank and Trust Company,Topeka,Kansas,1219363200000,20080822,Citizens Bank and Trust,752,10,1357420806903,1357420849037,1,-95.67118,39.04928,"{""type"":""Point"",""coordinates"":[-95.67118,39.04928]}"
7,The Community Bank,Loganville,Georgia,1227225600000,20081121,Bank of Essex,681,11,1357420806903,1357420849815,1,-83.90252,33.83807,"{""type"":""Point"",""coordinates"":[-83.90252,33.83807]}"
8,Security Pacific Bank,Los Angeles,California,1226016000000,20081107,Pacific Western Bank,561.1,13,1357420806903,1357420851511,1,-118.24532,34.05349,"{""type"":""Point"",""coordinates"":[-118.24532,34.05349]}"
9,Alpha Bank & Trust,Alpharetta,Georgia,1224806400000,20081024,"Stearns Bank, N.A.",354.1,14,1357420806903,1357420852636,1,-84.29455,34.07537,"{""type"":""Point"",""coordinates"":[-84.29455,34.07537]}"
10,First Priority Bank,Bradenton,Florida,1217548800000,20080801,SunTrust Bank,259,16,1357420806903,1357420855919,1,-82.57807,27.4955,"{""type"":""Point"",""coordinates"":[-82.57807,27.4955]}"
11,First Georgia Community Bank,Jackson,Georgia,1228435200000,20081205,United Bank,237.5,18,1357420806903,1357420857760,1,-83966,33.2944,"{""type"":""Point"",""coordinates"":[-83.966,33.2944]}"
12,Ameribank,Northfork,West Virginia,1221782400000,20080919,The Citizens Savings Bank,113,19,1357420806903,1357420858549,1,-81.42968,37.41434,"{""type"":""Point"",""coordinates"":[-81.42968,37.41434]}"
13,Main Street Bank,Northville,Michigan,1223596800000,20081010,Monroe Bank and Trust,98,20,1357420806903,1357420859185,1,-83.48519,42.43097,"{""type"":""Point"",""coordinates"":[-83.48519,42.43097]}"
14,"First Integrity Bank, NA",Staples,Minnesota,1212105600000,20080530,First International Bank and Trust,54.7,22,1357420806903,1357420860889,1,-94.7942,46.35565,"{""type"":""Point"",""coordinates"":[-94.7942,46.35565]}"
15,Sanderson State Bank,Sanderson,Texas,1229040000000,20081212,The Pecos County State Bank,37,24,1357420806903,1357420862437,1,-102.40415,30.14342,"{""type"":""Point"",""coordinates"":[-102.40415,30.14342]}"
16,Hume Bank,Hume,Missouri,1204848000000,20080307,Security Bank,18.7,25,1357420806903,1357420863153,1,-94.58322,38.09004,"{""type"":""Point"",""coordinates"":[-94.58322,38.09004]}"
17,AmTrust Bank,Cleveland,Ohio,1259884800000,20091204,New York Community Bank,12000,29,1357420806903,1357420868042,1,-81.69072,41.50475,"{""type"":""Point"",""coordinates"":[-81.69072,41.50475]}"
18,United Commercial Bank,San Francisco,California,1257465600000,20091106,East West Bank,11200,30,1357420806903,1357420869072,1,-122.41964,37.77712,"{""type"":""Point"",""coordinates"":[-122.41964,37.77712]}"
19,Corus Bank,Chicago,Illinois,1252627200000,20090911,"MB Financial Bank, N.A.",7000,32,1357420806903,1357420871190,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
20,Park National Bank,Chicago,Illinois,1256860800000,20091030,"U.S. Bank, N.A.",4700,34,1357420806903,1357420872805,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
21,"Silverton Bank, NA",Atlanta,Georgia,1241136000000,20090501,None (insured depositors paid directly),4100,35,1357420806903,1357420873529,1,-84.39111,33.74831,"{""type"":""Point"",""coordinates"":[-84.39111,33.74831]}"
22,Imperial Capital Bank,La Jolla,California,1261094400000,20091218,City National Bank,4000,36,1357420806903,1357420874233,1,-117.87405,33.85811,"{""type"":""Point"",""coordinates"":[-117.87405,33.85811]}"
23,Orion Bank,Naples,Florida,1258070400000,20091113,IBERIABANK,2700,39,1357420806903,1357420878551,1,-81.79579,26.13909,"{""type"":""Point"",""coordinates"":[-81.79579,26.13909]}"
24,Pacific National Bank,San Francisco,California,1256860800000,20091030,"U.S. Bank, N.A.",2300,40,1357420806903,1357420879507,1,-122.41964,37.77712,"{""type"":""Point"",""coordinates"":[-122.41964,37.77712]}"
25,Georgian Bank,Atlanta,Georgia,1253836800000,20090925,First Citizens Bank and Trust Company,2000,42,1357420806903,1357420881781,1,-84.39111,33.74831,"{""type"":""Point"",""coordinates"":[-84.39111,33.74831]}"
26,Vineyard Bank,Rancho Cucamonga,California,1247788800000,20090717,California Bank and Trust,1900,43,1357420806903,1357420882636,1,-117.57384,34.10261,"{""type"":""Point"",""coordinates"":[-117.57384,34.10261]}"
27,County Bank,Merced,California,1233878400000,20090206,Westamerica Bank,1700,45,1357420806903,1357420884779,1,-120.4862,37.30127,"{""type"":""Point"",""coordinates"":[-120.4862,37.30127]}"
28,Mutual Bank,Harvey,Illinois,1248998400000,20090731,United Central Bank,1600,46,1357420806903,1357420885704,1,-87.64458,41.61083,"{""type"":""Point"",""coordinates"":[-87.64458,41.61083]}"
29,Temecula Valley Bank,Temecula,California,1247788800000,20090717,First-Citizens Bank and Trust Company,1500,48,1357420806903,1357420887134,1,-117.16693,33.50248,"{""type"":""Point"",""coordinates"":[-117.16693,33.50248]}"
30,New South Federal Savings Bank,Irondale,Alabama,1261094400000,20091218,Beal Bank,1500,49,1357420806903,1357420887968,1,-86.70672,33.53794,"{""type"":""Point"",""coordinates"":[-86.70672,33.53794]}"
31,Security Bank of Bibb County,Macon,Georgia,1248393600000,20090724,State Bank and Trust Company,1200,50,1357420806903,1357420889259,1,-83.62758,32.83968,"{""type"":""Point"",""coordinates"":[-83.62758,32.83968]}"
32,Affinity Bank,Ventura,California,1251417600000,20090828,Pacific Western Bank,1000,52,1357420806903,1357420891518,1,-119.29232,34.28082,"{""type"":""Point"",""coordinates"":[-119.29232,34.28082]}"
33,Cooperative Bank,Wilmington,North Carolina,1245369600000,20090619,First Bank,970,53,1357420806903,1357420892503,1,-77.94599,34.23497,"{""type"":""Point"",""coordinates"":[-77.94599,34.23497]}"
34,Founders Bank,Worth,Illinois,1246492800000,20090702,The PrivateBank and Trust Company,963,55,1357420806903,1357420894431,1,-87.79548,41.69002,"{""type"":""Point"",""coordinates"":[-87.79548,41.69002]}"
35,Omni National Bank,Atlanta,Georgia,1238112000000,20090327,SunTrust Bank,956,56,1357420806903,1357420895145,1,-84.39111,33.74831,"{""type"":""Point"",""coordinates"":[-84.39111,33.74831]}"
36,First Coweta Bank,Newnan,Georgia,1250812800000,20090821,United Bank,167,119,1357420806903,1357420950443,1,-84.80047,33.37485,"{""type"":""Point"",""coordinates"":[-84.80047,33.37485]}"
37,BankEast,Knoxville,Tennessee,1327622400000,20120127,U.S. Bancorp,272.6,424,1357420806903,1357421230842,1,-83.92091,35.96049,"{""type"":""Point"",""coordinates"":[-83.92091,35.96049]}"
38,San Joaquin Bank,Bakersfield,California,1255651200000,20091016,Citizens Business Bank,775,59,1357420806903,1357420897743,1,-119.01886,35.36696,"{""type"":""Point"",""coordinates"":[-119.01886,35.36696]}"
39,"Century Bank, F.S.B.",Sarasota,Florida,1258070400000,20091113,IBERIABANK,728,60,1357420806903,1357420898309,1,-82.53963,27.33888,"{""type"":""Point"",""coordinates"":[-82.53963,27.33888]}"
40,"TeamBank, NA",Paola,Kansas,1237507200000,20090320,Great Southern Bank,669.8,62,1357420806903,1357420900325,1,-94.87577,38.57889,"{""type"":""Point"",""coordinates"":[-94.87577,38.57889]}"
41,CapitalSouth Bank,Birmingham,Alabama,1250812800000,20090821,IBERIABANK,617,63,1357420806903,1357420901220,1,-86.8115,33.52029,"{""type"":""Point"",""coordinates"":[-86.8115,33.52029]}"
42,Independent Bankers' Bank,Springfield,Illinois,1261094400000,20091218,The Independent Bankers Bank,586,64,1357420806903,1357420902278,1,-89.6436,39.80105,"{""type"":""Point"",""coordinates"":[-89.6436,39.80105]}"
43,Warren Bank,Warren,Michigan,1254441600000,20091002,The Huntington National Bank,538,66,1357420806903,1357420904204,1,-83.02852,42.51111,"{""type"":""Point"",""coordinates"":[-83.02852,42.51111]}"
44,Strategic Capital Bank,Champaign,Illinois,1242950400000,20090522,Midland States Bank,537,67,1357420806903,1357420905001,1,-88.2435,40.1142,"{""type"":""Point"",""coordinates"":[-88.2435,40.1142]}"
45,"Irwin Union Bank, F.S.B.",Louisville,Kentucky,1253232000000,20090918,"First Financial Bank, N.A.",493,69,1357420806903,1357420906742,1,-85.7664,38.25486,"{""type"":""Point"",""coordinates"":[-85.7664,38.25486]}"
46,Cape Fear Bank,Wilmington,North Carolina,1239321600000,20090410,First Federal Savings and Loan Association,492,70,1357420806903,1357420907826,1,-77.94599,34.23497,"{""type"":""Point"",""coordinates"":[-77.94599,34.23497]}"
47,First State Bank,Sarasota,Florida,1249603200000,20090807,"Stearns Bank, N.A.",463,72,1357420806903,1357420909266,1,-82.53963,27.33888,"{""type"":""Point"",""coordinates"":[-82.53963,27.33888]}"
48,Mainstreet Bank,Forest Lake,Minnesota,1251417600000,20090828,Central Bank,459,73,1357420806903,1357420910310,1,-92.9842,45.28191,"{""type"":""Point"",""coordinates"":[-92.9842,45.28191]}"
49,Mirae Bank,Los Angeles,California,1245974400000,20090626,Wilshire State Bank,456,75,1357420806903,1357420912564,1,-118.24532,34.05349,"{""type"":""Point"",""coordinates"":[-118.24532,34.05349]}"
50,Security Bank of Jones County,Gray,Georgia,1248393600000,20090724,State Bank and Trust Company,453,76,1357420806903,1357420913765,1,-83.53435,33.00944,"{""type"":""Point"",""coordinates"":[-83.53435,33.00944]}"
51,Bank of Clark County,Vancouver,Washington,1232064000000,20090116,Umpqua Bank,446.5,78,1357420806903,1357420915988,1,-122.67156,45.63221,"{""type"":""Point"",""coordinates"":[-122.67156,45.63221]}"
52,Citizens National Bank,Macomb,Illinois,1242950400000,20090522,Morton Community Bank,437,79,1357420806903,1357420916768,1,-90.66948,40.45989,"{""type"":""Point"",""coordinates"":[-90.66948,40.45989]}"
53,"Republic Federal Bank, N.A.",Miami,Florida,1260489600000,20091211,1st United Bank,433,80,1357420806903,1357420917630,1,-80.19773,25.77481,"{""type"":""Point"",""coordinates"":[-80.19773,25.77481]}"
54,Security Bank of Houston County,Perry,Georgia,1248393600000,20090724,State Bank and Trust Company,383,82,1357420806903,1357420919749,1,-83.73475,32.46087,"{""type"":""Point"",""coordinates"":[-83.73475,32.46087]}"
55,Southern Community Bank,Fayetteville,Georgia,1245369600000,20090619,United Community Bank,377,83,1357420806903,1357420920425,1,-84.45456,33.44865,"{""type"":""Point"",""coordinates"":[-84.45456,33.44865]}"
56,Platinum Community Bank,Rolling Meadows,Illinois,1252022400000,20090904,None (insured depositors paid directly),346,85,1357420806903,1357420921980,1,-88.02642,42.0806,"{""type"":""Point"",""coordinates"":[-88.02642,42.0806]}"
57,FirstBank Financial Service,McDonough,Georgia,1233878400000,20090206,Regions Bank,337,86,1357420806903,1357420922994,1,-84.14773,33.44774,"{""type"":""Point"",""coordinates"":[-84.14773,33.44774]}"
58,Bank of Elmwood,Racine,Wisconsin,1256256000000,20091023,Tri City National Bank,327,88,1357420806903,1357420924565,1,-87.79041,42.72521,"{""type"":""Point"",""coordinates"":[-87.79041,42.72521]}"
59,North Houston Bank,Houston,Texas,1256860800000,20091030,"U.S. Bank, N.A.",326,89,1357420806903,1357420926227,1,-95.36978,29.76045,"{""type"":""Point"",""coordinates"":[-95.36978,29.76045]}"
60,America West Bank,Layton,Utah,1241136000000,20090501,Cache Valley Bank,299.4,91,1357420806903,1357420928013,1,-111.96102,41.06593,"{""type"":""Point"",""coordinates"":[-111.96102,41.06593]}"
61,FirstCity Bank,Stockbridge,Georgia,1237507200000,20090320,None (insured depositors paid directly),297,92,1357420806903,1357420928664,1,-84.2277,33.54378,"{""type"":""Point"",""coordinates"":[-84.2277,33.54378]}"
62,MagnetBank,Salt Lake City,Utah,1233273600000,20090130,None (insured depositors paid directly),292.9,94,1357420806903,1357420930148,1,-111.88822,40.76004,"{""type"":""Point"",""coordinates"":[-111.88822,40.76004]}"
63,First DuPage Bank of Westmont,Westmont,Illinois,1256256000000,20091023,First Midwest Bank,279,95,1357420806903,1357420930823,1,-87.9774,41.7952,"{""type"":""Point"",""coordinates"":[-87.9774,41.7952]}"
64,BankFirst,Sioux Falls,South Dakota,1247788800000,20090717,"Alerus Financial, N.A.",275,96,1357420806903,1357420931586,1,-96.73128,43.54535,"{""type"":""Point"",""coordinates"":[-96.73128,43.54535]}"
65,Great Basin Bank of Nevada,Elko,Nevada,1239926400000,20090417,Nevada State Bank,271,98,1357420806903,1357420932786,1,-115.76754,40.83568,"{""type"":""Point"",""coordinates"":[-115.76754,40.83568]}"
66,Madisonville State Bank,Madisonville,Texas,1256860800000,20091030,"U.S. Bank, N.A.",257,99,1357420806903,1357420934071,1,-95.91185,30.94996,"{""type"":""Point"",""coordinates"":[-95.91185,30.94996]}"
67,Heritage Community Bank,Glenwood,Illinois,1235692800000,20090227,"MB Financial Bank, N.A.",232.9,101,1357420806903,1357420936021,1,-87.61374,41.54567,"{""type"":""Point"",""coordinates"":[-87.61374,41.54567]}"
68,Security Bank of North Metro,Woodstock,Georgia,1248393600000,20090724,State Bank and Trust Company,224,102,1357420806903,1357420936776,1,-84.51879,34.10284,"{""type"":""Point"",""coordinates"":[-84.51879,34.10284]}"
69,Neighborhood Community Bank,Newnan,Georgia,1245974400000,20090626,Charterbank,221.6,104,1357420806903,1357420938250,1,-84.80047,33.37485,"{""type"":""Point"",""coordinates"":[-84.80047,33.37485]}"
70,Bank of Lincolnwood,Lincolnwood,Illinois,1244160000000,20090605,Republic Bank of Chicago,214,105,1357420806903,1357420939015,1,-87.73319,42.00694,"{""type"":""Point"",""coordinates"":[-87.73319,42.00694]}"
71,InBank,Oak Forest,Illinois,1252022400000,20090904,"MB Financial Bank, N.A.",212,107,1357420806903,1357420941075,1,-87.75629,41.61182,"{""type"":""Point"",""coordinates"":[-87.75629,41.61182]}"
72,Security Bank of North Fulton,Alpharetta,Georgia,1248393600000,20090724,State Bank and Trust Company,209,108,1357420806903,1357420941798,1,-84.29455,34.07537,"{""type"":""Point"",""coordinates"":[-84.29455,34.07537]}"
73,Prosperan Bank,Oakdale,Minnesota,1257465600000,20091106,"Alerus Financial, N.A.",200,111,1357420806903,1357420943997,1,-92.96447,44.97202,"{""type"":""Point"",""coordinates"":[-92.96447,44.97202]}"
74,Flagship National Bank,Bradenton,Florida,1256256000000,20091023,First Federal Bank of Florida,190,113,1357420806903,1357420945496,1,-82.57807,27.4955,"{""type"":""Point"",""coordinates"":[-82.57807,27.4955]}"
75,Michigan Heritage Bank,Farmington Hills,Michigan,1240531200000,20090424,Level One Bank,184.6,114,1357420806903,1357420946439,1,-83.3634,42.48456,"{""type"":""Point"",""coordinates"":[-83.3634,42.48456]}"
76,Freedom Bank of Georgia,Commerce,Georgia,1236297600000,20090306,Northeast Georgia Bank,173,116,1357420806903,1357420948223,1,-83.45754,34.20363,"{""type"":""Point"",""coordinates"":[-83.45754,34.20363]}"
77,Benchmark Bank,Aurora,Illinois,1259884800000,20091204,"MB Financial Bank, N.A.",170,117,1357420806903,1357420949135,1,-88.31577,41.75695,"{""type"":""Point"",""coordinates"":[-88.31577,41.75695]}"
78,First National Bank of Danville,Danville,Illinois,1246492800000,20090702,"First Financial Bank, N.A.",166,120,1357420806903,1357420951158,1,-87.63043,40.15946,"{""type"":""Point"",""coordinates"":[-87.63043,40.15946]}"
79,First BankAmericano,Elizabeth,New Jersey,1248998400000,20090731,Crown Bank,166,121,1357420806903,1357420952190,1,-74.21146,40.66351,"{""type"":""Point"",""coordinates"":[-74.21146,40.66351]}"
80,Community Bank of Nevada,Las Vegas,Nevada,1250208000000,20090814,None (insured depositors paid directly),159,122,1357420806903,1357420953096,1,-115.13997,36.17191,"{""type"":""Point"",""coordinates"":[-115.13997,36.17191]}"
81,Fist National Bank of Anthony,Anthony,Kansas,1245369600000,20090619,Bank of Kansas,156.9,124,1357420806903,1357420955027,1,-98.0308,37.1522,"{""type"":""Point"",""coordinates"":[-98.0308,37.1522]}"
82,Community Bank of Arizona,Phoenix,Arizona,1250208000000,20090814,MidFirst Bank,156,125,1357420806903,1357420956339,1,-112.07577,33.44826,"{""type"":""Point"",""coordinates"":[-112.07577,33.44826]}"
83,Pacific Coast National Bank,San Clemente,California,1258070400000,20091113,Sunwest Bank,134,127,1357420806903,1357420957800,1,-117.60733,33.42862,"{""type"":""Point"",""coordinates"":[-117.60733,33.42862]}"
84,Silver Falls Bank,Silverton,Oregon,1235088000000,20090220,Citizens Bank,131.4,128,1357420806903,1357420958537,1,-122.78217,45.00394,"{""type"":""Point"",""coordinates"":[-122.78217,45.00394]}"
85,First Security National Bank,Norcross,Georgia,1259884800000,20091204,State Bank and Trust,128,130,1357420806903,1357420960263,1,-84.21131,33.94263,"{""type"":""Point"",""coordinates"":[-84.21131,33.94263]}"
86,"Union Bank, NA",Gilbert,Arizona,1250208000000,20090814,MidFirst Bank,124,131,1357420806903,1357420961332,1,-111.78976,33.32904,"{""type"":""Point"",""coordinates"":[-111.78976,33.32904]}"
87,Integrity Bank,Jupiter,Florida,1248998400000,20090731,Stonegate Bank,119,133,1357420806903,1357420963157,1,-80.10189,26.93276,"{""type"":""Point"",""coordinates"":[-80.10189,26.93276]}"
88,Millennium State Bank of Texas,Dallas,Texas,1246492800000,20090702,State Bank of Texas,118,134,1357420806903,1357420964481,1,-96.7954,32.77815,"{""type"":""Point"",""coordinates"":[-96.7954,32.77815]}"
89,First Piedmont Bank,Winder,Georgia,1247788800000,20090717,First American Bank and Trust Company,115,136,1357420806903,1357420966254,1,-83.72249,33.99121,"{""type"":""Point"",""coordinates"":[-83.72249,33.99121]}"
90,American Southern Bank,Kennesaw,Georgia,1240531200000,20090424,Bank of North Georgia,112.3,137,1357420806903,1357420966996,1,-84.61676,34.0234,"{""type"":""Point"",""coordinates"":[-84.61676,34.0234]}"
91,Riverview Community Bank,Otsego,Minnesota,1256256000000,20091023,Central Bank,108,139,1357420806903,1357420968615,1,-93.61274,45.28986,"{""type"":""Point"",""coordinates"":[-93.61274,45.28986]}"
92,First State Bank,Flagstaff,Arizona,1252022400000,20090904,Sunwest Bank,105,140,1357420806903,1357420969394,1,-111.6513,35.1982,"{""type"":""Point"",""coordinates"":[-111.6513,35.1982]}"
93,Community National Bank of Sarasota County,Venice,Florida,1249603200000,20090807,"Stearns Bank, N.A.",97,142,1357420806903,1357420970977,1,-82.45001,27.09944,"{""type"":""Point"",""coordinates"":[-82.45001,27.09944]}"
