id,bank,city,state,date,date_numbers,acquired_by,assets_mil,cartodb_id,created_at,updated_at,cartodb_georef_status,longitude,latitude,geojson
150,Coastal Community Bank,Panama City,Florida,1280448000000,20100730,Centennial Bank,373,227,1357420806903,1357421054764,1,-85.66033,30.15987,"{""type"":""Point"",""coordinates"":[-85.66033,30.15987]}"
151,McIntosh Commercial Bank,Carrollton,Georgia,1269561600000,20100326,Hamilton State Bank,363,228,1357420806903,1357421056096,1,-85.07841,33.5813,"{""type"":""Point"",""coordinates"":[-85.07841,33.5813]}"
152,Premier American Bank,Miami,Florida,1264118400000,20100122,"Premier American Bank, N.A.",351,230,1357420806903,1357421057319,1,-80.19773,25.77481,"{""type"":""Point"",""coordinates"":[-80.19773,25.77481]}"
153,Maritime Savings Bank,West Allis,Wisconsin,1284681600000,20100917,"North Shore Bank, FSB",351,231,1357420806903,1357421057968,1,-88.00664,43.01665,"{""type"":""Point"",""coordinates"":[-88.00664,43.01665]}"
154,1st Pacific Bank of California,San Diego,California,1273190400000,20100507,City National Bank,336,233,1357420806903,1357421060422,1,-117.16172,32.71569,"{""type"":""Point"",""coordinates"":[-117.16172,32.71569]}"
155,Old Southern Bank,Orlando,Florida,1268352000000,20100312,Centennial Bank,316,234,1357420806903,1357421061357,1,-81.37739,28.53823,"{""type"":""Point"",""coordinates"":[-81.37739,28.53823]}"
156,Unity National Bank,Cartersville,Georgia,1269561600000,20100326,Bank of the Ozarks,292,236,1357420806903,1357421063189,1,-84.7957,34.16517,"{""type"":""Point"",""coordinates"":[-84.7957,34.16517]}"
157,North County Bank,Arlington,Washington,1285286400000,20100924,Whidbey Island Bank,289,237,1357420806903,1357421064230,1,-122.12641,48.19429,"{""type"":""Point"",""coordinates"":[-122.12641,48.19429]}"
158,Innovative Bank,Oakland,California,1271376000000,20100416,Center Bank,269,240,1357420806903,1357421067398,1,-122.27307,37.80508,"{""type"":""Point"",""coordinates"":[-122.27307,37.80508]}"
159,Butler Bank,Lowell,Massachusetts,1271376000000,20100416,People's United Bank,268,241,1357420806903,1357421069450,1,-71.31284,42.64588,"{""type"":""Point"",""coordinates"":[-71.31284,42.64588]}"
160,Turnberry Bank,Aventura,Florida,1279238400000,20100716,NAFH National Bank,264,243,1357420806903,1357421071124,1,-80.14464,25.96861,"{""type"":""Point"",""coordinates"":[-80.14464,25.96861]}"
161,First National Bank,Savannah,Georgia,1277424000000,20100625,The Savannah Bank,253,244,1357420806903,1357421071927,1,-81.09119,32.08091,"{""type"":""Point"",""coordinates"":[-81.09119,32.08091]}"
162,Paramount Bank,Farmington Hills,Michigan,1291939200000,20101210,Level One Bank,253,245,1357420806903,1357421072698,1,-83.3634,42.48456,"{""type"":""Point"",""coordinates"":[-83.3634,42.48456]}"
163,First Commerce Community Bank,Douglasville,Georgia,1284681600000,20100917,Community and Southern Bank,248,247,1357420806903,1357421074604,1,-84.74912,33.75018,"{""type"":""Point"",""coordinates"":[-84.74912,33.75018]}"
164,Bank of Florida-Tampa Bay,Tampa,Florida,1275004800000,20100528,EverBank,245,248,1357420806903,1357421075793,1,-82.45927,27.94653,"{""type"":""Point"",""coordinates"":[-82.45927,27.94653]}"
165,The Bank of Bonifay,Bonifay,Florida,1273190400000,20100507,First Federal Bank of Florida,243,251,1357420806903,1357421077790,1,-85.67961,30.79352,"{""type"":""Point"",""coordinates"":[-85.67961,30.79352]}"
166,Pierce Commercial Bank,Tacoma,Washington,1288915200000,20101105,Heritage Bank,221,252,1357420806903,1357421078793,1,-122.44165,47.25513,"{""type"":""Point"",""coordinates"":[-122.44165,47.25513]}"
167,Centennial Bank,Ogden,Utah,1267747200000,20100305,None (insured depositors paid directly),215,253,1357420806903,1357421079675,1,-111.97048,41.22236,"{""type"":""Point"",""coordinates"":[-111.97048,41.22236]}"
168,SouthwestUSA Bank,Las Vegas,Nevada,1279843200000,20100723,Plaza Bank,214,254,1357420806903,1357421080590,1,-115.13997,36.17191,"{""type"":""Point"",""coordinates"":[-115.13997,36.17191]}"
169,LibertyPointe Bank,New York,New York,1268352000000,20100312,Valley National Bank,210,256,1357420806903,1357421083121,1,-74.00712,40.71455,"{""type"":""Point"",""coordinates"":[-74.00712,40.71455]}"
170,Copper Star Bank,Scottsdale,Arizona,1289520000000,20101112,"Stearns Bank, N.A.",204,257,1357420806903,1357421084187,1,-111.92069,33494,"{""type"":""Point"",""coordinates"":[-111.92069,33.494]}"
171,United Americas Bank,Atlanta,Georgia,1292544000000,20101217,State Bank and Trust Company,194,259,1357420806903,1357421085764,1,-84.39111,33.74831,"{""type"":""Point"",""coordinates"":[-84.39111,33.74831]}"
172,USA Bank,Port Chester,New York,1278633600000,20100709,New Century Bank,190,260,1357420806903,1357421087029,1,-73.66619,41.00106,"{""type"":""Point"",""coordinates"":[-73.66619,41.00106]}"
173,Horizon Bank,Bradenton,Florida,1284076800000,20100910,Bank of the Ozarks,188,261,1357420806903,1357421087956,1,-82.57807,27.4955,"{""type"":""Point"",""coordinates"":[-82.57807,27.4955]}"
174,Olde Cypress Community Bank,Clewiston,Florida,1279238400000,20100716,CenterState Bank of Florida,169,263,1357420806903,1357421089089,1,-80.93557,26.75427,"{""type"":""Point"",""coordinates"":[-80.93557,26.75427]}"
175,Bank of Ellijay,Ellijay,Georgia,1284681600000,20100917,Community and Southern Bank,169,264,1357420806903,1357421089616,1,-84.4829,34.69451,"{""type"":""Point"",""coordinates"":[-84.4829,34.69451]}"
176,Waterfield Bank,Germantown,Maryland,1267747200000,20100305,None (insured depositors paid directly),156,266,1357420806903,1357421091233,1,-77.27004,39.18218,"{""type"":""Point"",""coordinates"":[-77.27004,39.18218]}"
177,Independent National Bank,Ocala,Florida,1282262400000,20100820,CenterState Bank of Florida,156,267,1357420806903,1357421092116,1,-82.14039,29.18752,"{""type"":""Point"",""coordinates"":[-82.14039,29.18752]}"
178,First Southern Bank,Batesville,Arkansas,1292544000000,20101217,Southern Bank,156,268,1357420806903,1357421092930,1,-91.65,35.76976,"{""type"":""Point"",""coordinates"":[-91.65,35.76976]}"
179,First Suburban National Bank,Maywood,Illinois,1287705600000,20101022,Seaway Bank and Trust Company,149,270,1357420806903,1357421094327,1,-87.83917,41.88711,"{""type"":""Point"",""coordinates"":[-87.83917,41.88711]}"
180,First Lowndes Bank,Luverne,Alabama,1268956800000,20100319,First Citizens Bank,137,273,1357420806903,1357421096579,1,-86.26379,31.71596,"{""type"":""Point"",""coordinates"":[-86.26379,31.71596]}"
181,Satilla Community Bank,St. Marys,Georgia,1273795200000,20100514,Ameris Bank,136,274,1357420806903,1357421097352,1,-81.54609,30.73115,"{""type"":""Point"",""coordinates"":[-81.54609,30.73115]}"
182,Peotone Bank and Trust Company,Peotone,Illinois,1271980800000,20100423,First Midwest Bank,130,276,1357420806903,1357421098698,1,-87.78969,41.33329,"{""type"":""Point"",""coordinates"":[-87.78969,41.33329]}"
183,Marco Community Bank,Marco Island,Florida,1266537600000,20100219,Mutual of Omaha Bank,120,277,1357420806903,1357421099259,1,-81.72445,25.95366,"{""type"":""Point"",""coordinates"":[-81.72445,25.95366]}"
184,Earthstar Bank,Southampton,Pennsylvania,1291939200000,20101210,Polonia Bank,113,279,1357420806903,1357421100998,1,-75.04147,40.17547,"{""type"":""Point"",""coordinates"":[-75.04147,40.17547]}"
185,Gulf State Community Bank,Carrabelle,Florida,1290124800000,20101119,Centennial Bank,112,280,1357420806903,1357421101606,1,-84.66472,29.85336,"{""type"":""Point"",""coordinates"":[-84.66472,29.85336]}"
186,Progress Bank of Florida,Tampa,Florida,1287705600000,20101022,Bay Cities Bank,111,281,1357420806903,1357421102738,1,-82.45927,27.94653,"{""type"":""Point"",""coordinates"":[-82.45927,27.94653]}"
